,air_store_id,visit_date,reserve_visitors
0,air_00a91d42b08b08d9,2016-10-31,2
1,air_00a91d42b08b08d9,2016-12-05,9
2,air_00a91d42b08b08d9,2016-12-14,18
3,air_00a91d42b08b08d9,2016-12-17,2
4,air_00a91d42b08b08d9,2016-12-20,4
5,air_00a91d42b08b08d9,2017-02-18,9
6,air_00a91d42b08b08d9,2017-02-23,12
7,air_00a91d42b08b08d9,2017-03-01,3
8,air_00a91d42b08b08d9,2017-03-14,4
9,air_00a91d42b08b08d9,2017-03-21,3
10,air_00a91d42b08b08d9,2017-03-24,2
11,air_00a91d42b08b08d9,2017-04-04,2
12,air_0164b9927d20bcc3,2016-10-28,12
13,air_0164b9927d20bcc3,2016-11-01,10
14,air_0164b9927d20bcc3,2016-11-02,3
15,air_0164b9927d20bcc3,2016-11-08,9
16,air_0164b9927d20bcc3,2016-11-10,6
17,air_0164b9927d20bcc3,2016-11-11,4
18,air_0164b9927d20bcc3,2016-11-14,17
19,air_0164b9927d20bcc3,2016-11-15,3
20,air_0164b9927d20bcc3,2016-11-16,2
21,air_0164b9927d20bcc3,2016-11-18,13
22,air_0164b9927d20bcc3,2016-11-21,3
23,air_0164b9927d20bcc3,2016-11-22,9
24,air_0164b9927d20bcc3,2016-11-24,2
25,air_0164b9927d20bcc3,2016-11-26,10
26,air_0164b9927d20bcc3,2016-11-28,2
27,air_0164b9927d20bcc3,2016-12-02,3
28,air_0164b9927d20bcc3,2016-12-05,4
29,air_0164b9927d20bcc3,2016-12-06,2
30,air_0164b9927d20bcc3,2016-12-07,2
31,air_0164b9927d20bcc3,2016-12-08,9
32,air_0164b9927d20bcc3,2016-12-14,2
33,air_0164b9927d20bcc3,2016-12-15,15
34,air_0164b9927d20bcc3,2016-12-16,6
35,air_0164b9927d20bcc3,2016-12-19,2
36,air_0164b9927d20bcc3,2016-12-21,2
37,air_0164b9927d20bcc3,2016-12-22,7
38,air_0164b9927d20bcc3,2016-12-23,2
39,air_0164b9927d20bcc3,2016-12-26,2
40,air_0164b9927d20bcc3,2016-12-27,3
41,air_0164b9927d20bcc3,2017-01-06,3
42,air_0164b9927d20bcc3,2017-01-12,10
43,air_0164b9927d20bcc3,2017-01-13,2
44,air_0164b9927d20bcc3,2017-01-14,9
45,air_0164b9927d20bcc3,2017-01-16,6
46,air_0164b9927d20bcc3,2017-01-17,6
47,air_0164b9927d20bcc3,2017-01-19,2
48,air_0164b9927d20bcc3,2017-01-20,2
49,air_0164b9927d20bcc3,2017-01-23,11
50,air_0164b9927d20bcc3,2017-01-24,5
51,air_0164b9927d20bcc3,2017-01-25,2
52,air_0164b9927d20bcc3,2017-01-26,16
53,air_0164b9927d20bcc3,2017-01-27,1
54,air_0164b9927d20bcc3,2017-01-31,13
55,air_0164b9927d20bcc3,2017-02-01,8
56,air_0164b9927d20bcc3,2017-02-06,4
57,air_0164b9927d20bcc3,2017-02-07,10
58,air_0164b9927d20bcc3,2017-02-08,5
59,air_0164b9927d20bcc3,2017-02-09,13
60,air_0164b9927d20bcc3,2017-02-10,5
61,air_0164b9927d20bcc3,2017-02-15,2
62,air_0164b9927d20bcc3,2017-02-18,9
63,air_0164b9927d20bcc3,2017-02-20,1
64,air_0164b9927d20bcc3,2017-02-21,6
65,air_0164b9927d20bcc3,2017-02-24,4
66,air_0164b9927d20bcc3,2017-02-27,2
67,air_0164b9927d20bcc3,2017-02-28,2
68,air_0164b9927d20bcc3,2017-03-01,4
69,air_0164b9927d20bcc3,2017-03-02,6
70,air_0164b9927d20bcc3,2017-03-03,3
71,air_0164b9927d20bcc3,2017-03-06,4
72,air_0164b9927d20bcc3,2017-03-07,3
73,air_0164b9927d20bcc3,2017-03-08,6
74,air_0164b9927d20bcc3,2017-03-10,6
75,air_0164b9927d20bcc3,2017-03-13,11
76,air_0164b9927d20bcc3,2017-03-14,6
77,air_0164b9927d20bcc3,2017-03-17,9
78,air_0164b9927d20bcc3,2017-03-22,11
79,air_0164b9927d20bcc3,2017-03-24,14
80,air_0164b9927d20bcc3,2017-03-27,8
81,air_0164b9927d20bcc3,2017-03-28,2
82,air_0164b9927d20bcc3,2017-03-29,4
83,air_0164b9927d20bcc3,2017-03-30,8
84,air_0164b9927d20bcc3,2017-03-31,4
85,air_0164b9927d20bcc3,2017-04-03,8
86,air_0164b9927d20bcc3,2017-04-05,10
87,air_0164b9927d20bcc3,2017-04-12,1
88,air_0164b9927d20bcc3,2017-04-13,9
89,air_0164b9927d20bcc3,2017-04-21,26
90,air_0164b9927d20bcc3,2017-04-25,3
91,air_0164b9927d20bcc3,2017-04-26,2
92,air_0164b9927d20bcc3,2017-04-27,4
